Source.Decimal,Source.IP,AMAZON.FLOWS,NETFLIX.FLOWS,YOUTUBE.FLOWS,AMAZON.FLOW.DURATION.MEAN,NETFLIX.FLOW.DURATION.MEAN,YOUTUBE.FLOW.DURATION.MEAN,AMAZON.AVG.PACKET.SIZE,NETFLIX.AVG.PACKET.SIZE,YOUTUBE.AVG.PACKET.SIZE,AMAZON.FLOW.BYTES.PER.SEC,NETFLIX.FLOW.BYTES.PER.SEC,YOUTUBE.FLOW.BYTES.PER.SEC,USER.GROUP
3232238082,192.168.10.2,0,0,68,0,0,35723528.19,0,0,311.632202,0,0,1544872.591,High Consumption
3232238083,192.168.10.3,32,0,3,18777150.22,0,72796138,341.269103,0,56.418478,275469.8969,0,15584.56556,High Consumption
3232238084,192.168.10.4,47,0,281,67758322.17,0,37702770.81,260.271911,0,373.202859,7181.632488,0,111208.0455,High Consumption
3232238085,192.168.10.5,0,0,1,0,0,51264355,0,0,149.12,0,0,145.442189,High Consumption
3232238086,192.168.10.6,0,0,0,0,0,0,0,0,0,0,0,0,Medium Consumption
3232238087,192.168.10.7,0,0,9,0,0,37808123.78,0,0,86.452557,0,0,32147.71566,High Consumption
3232238088,192.168.10.8,12,0,12,6119072,0,26297693.42,181.710566,0,157.41754,1717345.469,0,29500.04345,High Consumption
3232238089,192.168.10.9,0,0,35,0,0,44071812.46,0,0,114.660774,0,0,7290.886773,High Consumption
3232238090,192.168.10.10,5,0,160,5153864,0,36596924.02,87.539394,0,489.244955,262.077423,0,176689.7171,High Consumption
3232238091,192.168.10.11,31,0,94,12303583.29,0,50414166.32,359.296901,0,421.499486,2618148.732,0,156664.2674,High Consumption
3232238092,192.168.10.12,44,0,81,9703894.705,0,47260139.75,257.972345,0,214.548985,1563992.287,0,538054.8591,Medium Consumption
3232238093,192.168.10.13,0,0,1,0,0,6810618,0,0,448.852273,0,0,5799.620534,Medium Consumption
3232238094,192.168.10.14,0,0,0,0,0,0,0,0,0,0,0,0,Medium Consumption
3232238095,192.168.10.15,4,0,1,1095079.5,0,3041661,320.55047,0,169.56,15623.26704,0,4180.939296,Medium Consumption
3232238096,192.168.10.16,3,0,2,77640790.33,0,1448219.5,225.054112,0,166.006173,9134.031468,0,17310.48896,Medium Consumption
3232238097,192.168.10.17,0,0,16,0,0,18377077.31,0,0,244.386399,0,0,2258499.116,Medium Consumption
3232238098,192.168.10.18,0,0,4,0,0,73777749,0,0,102.725783,0,0,28458.64513,High Consumption
3232238099,192.168.10.19,0,0,2,0,0,4543933.5,0,0,133.207672,0,0,2734.922288,Medium Consumption
3232238100,192.168.10.20,6,0,0,21066327.5,0,0,263.262967,0,0,1357.029358,0,0,High Consumption
3232238101,192.168.10.21,0,0,0,0,0,0,0,0,0,0,0,0,High Consumption
3232238102,192.168.10.22,0,0,12,0,0,15391670.58,0,0,204.179995,0,0,1026719.149,High Consumption
3232238103,192.168.10.23,0,0,3,0,0,65108078.33,0,0,160.451741,0,0,8286.805312,High Consumption
3232238104,192.168.10.24,1,0,45,949551,0,63446330.87,460.885246,0,422.285048,29607.67773,0,61576.48689,High Consumption
3232238105,192.168.10.25,0,0,8,0,0,42429400.5,0,0,124.126449,0,0,168982.0154,High Consumption
3232238106,192.168.10.26,208,0,28,10124486.34,0,43585639.93,235.370343,0,359.135111,135573.4516,0,109049.5538,High Consumption
3232238107,192.168.10.27,0,0,125,0,0,46651387.99,0,0,400.307021,0,0,65504.81927,High Consumption
3232238108,192.168.10.28,716,0,131,3201934.622,0,8729352.908,199.813379,0,559.046319,109539.5248,0,81448.27876,Medium Consumption
3232238109,192.168.10.29,0,0,4,0,0,51542627.25,0,0,99.809869,0,0,1625.500705,High Consumption
3232238110,192.168.10.30,0,0,50,0,0,25826797.82,0,0,252.360654,0,0,36168.92212,High Consumption
3232238111,192.168.10.31,0,0,10,0,0,54612557.4,0,0,72.477127,0,0,94988.47764,High Consumption
